		age																				
city	sex	0~4歲	5~9歲	10~14歲	15~19歲	20~24歲	25~29歲	30~34歲	35~39歲	40~44歲	45~49歲	50~54歲	55~59歲	60~64歲	65~69歲	70~74歲	75~79歲	80~84歲	85~89歲	90~94歲	95~99歲	100歲以上
新北市	男	87333	86332	100564	127874	144141	142196	168152	173501	152909	151411	155505	144303	123309	72060	47444	30338	21058	14753	5534	1229	308
	女	81065	78933	92338	118803	131959	136240	171070	180158	159630	165560	174638	163810	140224	80846	54907	40002	24635	13946	5464	1296	274
臺北市	男	75209	57032	65379	77389	78133	78448	104029	109479	95624	95943	98149	95371	89395	58986	39943	29017	22675	17022	7326	1679	411
	女	71073	52441	59720	71336	72960	80127	117261	124999	111234	111673	111857	110256	102145	68939	49596	40052	27277	17128	7292	1674	351
桃園市	男	51098	54639	65796	77839	79862	74838	89205	91417	81987	81864	79559	68179	53770	30561	20947	14765	13227	11162	3245	530	103
	女	47664	49693	59695	71421	72783	70051	89982	94083	85090	84377	82528	72006	59433	35087	25531	19689	12031	6949	2700	593	102
臺中市	男	68052	66975	80665	100465	103411	100253	116439	116214	99966	103345	102504	90181	75608	43883	30546	22865	15904	10569	3328	537	83
	女	63179	61608	74684	92636	96009	95554	118133	121651	109022	112034	110639	96897	81590	48159	36033	28736	18605	10130	3519	761	128
臺南市	男	40191	39438	47791	60739	65674	66968	79239	80657	68119	73434	78314	72510	60346	35487	26550	21417	15405	8824	2495	441	77
	女	37194	36403	43758	55344	61619	63036	78566	79740	70137	74354	78239	71362	60467	37706	30689	27080	20117	10707	3858	770	114
高雄市	男	56693	57440	70891	89922	97438	95767	113845	120282	108475	110709	109507	101358	90387	55596	39782	27519	19221	12562	3802	633	104
	女	53086	53150	65267	83862	89819	89853	113693	122478	111363	111314	113144	109150	99571	61678	45599	35496	22043	11408	4050	769	109
宜蘭縣	男	9107	9502	12316	16177	17663	16672	17912	17489	16851	18564	19098	16981	14155	8309	7543	6578	4323	2402	685	141	29
	女	8258	8846	11308	14714	16363	15098	17127	16941	16619	17266	18123	16684	14244	8616	8481	7659	5293	2878	1038	229	31
新竹縣	男	15242	15998	17029	19308	19698	17517	21573	24390	22957	21652	20631	17088	13399	8253	7337	6232	4274	2526	751	159	31
	女	14388	14484	15410	17473	18124	16211	21992	25148	21574	19712	18542	15462	13073	8276	7692	6877	4660	2760	989	246	35
苗栗縣	男	14038	12644	15861	18847	21043	20525	23942	22771	20827	21781	23083	20918	17342	10552	9336	8219	5562	3115	873	169	23
	女	13270	11499	13907	17184	19497	19544	23087	21641	18552	18946	20462	18682	16342	10633	9524	8846	6744	4039	1462	320	52
彰化縣	男	28991	28997	37429	45477	48304	49441	56259	54702	46163	47729	50909	46216	39221	24110	19785	17013	11215	5429	1551	224	29
	女	26641	26228	33747	41337	44117	44983	53402	51369	43001	43683	46749	43490	37916	24446	21141	20311	15362	8338	3087	643	89
南投縣	男	9013	9979	13577	17412	19357	18766	20460	19588	17782	20674	22173	20392	17445	10629	8654	7637	5150	2777	801	144	19
	女	8343	9206	12650	16244	17843	16610	18545	18025	16802	18584	20386	18869	16302	10793	9463	8853	6409	3644	1232	258	28
雲林縣	男	13117	14686	19552	23738	23722	23774	28006	29465	26603	30012	30559	26937	23246	15273	13180	11369	7300	3452	922	116	19
	女	12150	13115	17634	21384	21665	21617	26403	27080	23127	22954	23862	22433	20785	15157	14741	14117	10533	5710	1937	395	51
嘉義縣	男	8069	9186	12922	17203	18358	17915	20426	20277	19373	22723	24843	21755	18288	11325	9783	8931	6199	3059	868	157	21
	女	7463	8204	11794	15660	16916	16118	18213	18533	17017	18172	19271	17806	16202	11352	11044	10965	8531	4704	1597	308	40
屏東縣	男	14292	16157	21747	28901	31245	29854	33607	34789	31543	35353	36528	33018	28821	17552	14197	11802	7665	4040	1191	190	39
	女	13035	14681	20146	26082	28891	27404	30947	31947	29382	31655	33499	32219	28461	18355	15377	13405	9333	4787	1504	307	33
臺東縣	男	4374	4689	6034	7473	8198	7651	8742	8874	9086	10059	9995	8740	6973	4443	3541	2819	1949	1404	491	107	26
	女	4055	4285	5481	7054	7333	6711	7747	7961	7904	8089	8439	8151	7366	4955	4077	3527	2469	1342	468	92	15
花蓮縣	男	6804	6930	8745	11409	12274	11231	13344	13234	12517	13799	13808	13021	11036	6672	5030	3894	2868	2124	756	155	44
	女	6214	6207	8036	10454	11520	10266	12027	12309	12155	12204	13057	12778	11140	7382	6028	4910	3386	1842	659	138	17
澎湖縣	男	2175	1704	2340	3237	4446	3750	4310	4199	3943	4179	4309	3918	3072	1950	1500	1403	1152	637	195	44	1
	女	2003	1561	2098	2977	3772	3470	4126	4161	3577	3592	3633	3338	3014	2065	1626	1613	1427	822	342	66	6
基隆市	男	5661	7073	9437	12685	14155	13157	14142	14304	14383	15676	16644	15310	12710	7245	5206	4003	2751	1902	694	139	40
	女	5282	6585	8525	11634	12978	11941	13051	14211	14193	15568	16355	15644	13545	7872	6268	5461	3473	1976	730	150	28
新竹市	男	13379	13132	13954	14716	14217	13588	17717	20104	17486	16595	15392	12917	10851	6530	4593	3451	2598	2012	809	147	34
	女	12373	11886	12832	13609	13345	13285	19156	21672	18181	16864	15415	13649	11926	7499	6017	4782	3214	1966	768	172	27
嘉義市	男	5634	6664	9061	10214	9820	8964	10080	10220	9290	10239	10143	9044	7767	4841	3610	2868	2078	1225	424	69	15
	女	5129	6103	8164	9621	9038	8607	10454	11569	11034	11251	10757	9633	8585	5560	4545	3865	2679	1432	490	96	14
金門縣	男	3171	1914	2113	3622	5568	5130	5173	4758	4953	5537	6007	5906	4252	2277	1750	1451	947	339	152	40	11
	女	2886	1796	1939	3700	5854	5039	5460	5152	4761	5327	5752	5470	4057	2149	1658	1464	1066	746	355	94	35
連江縣	男	333	259	249	390	556	513	601	589	596	627	665	653	483	247	147	105	61	32	20	7	3
	女	342	192	208	336	363	379	487	480	435	401	421	450	283	215	82	97	90	60	30	9	0
